country,date,tested,confirmed,confirmed_tested_ratio,Tested population,confirmed_population_ratio
Afghanistan,2020-12-17,154767,49621,32.1,0.4,0.13
Albania,2021-02-18,428654,96838,22.6,15.0,3.4
Algeria,2020-11-02,230553,58574,25.4,0.53,0.13
Andorra,2022-02-23,300307,37958,12.6,387.0,49.0
Angola,2021-02-02,399228,20981,5.3,1.3,0.067
Antigua and Barbuda,2021-03-06,15268,832,5.4,15.9,0.86
Argentina,2022-04-16,35716069,9060495,25.4,78.3,20.0
Armenia,2022-05-29,3099602,422963,13.6,105.0,14.3
Australia,2022-09-09,78548492,10112229,12.9,313.0,40.3
Austria,2023-02-01,205817752,5789991,2.8,2312.0,65.0
Azerbaijan,2022-05-11,6838458,792638,11.6,69.1,8.0
Bahamas,2022-11-28,259366,37483,14.5,67.3,9.7
Bahrain,2022-12-03,10578766,696614,6.6,674.0,44.4
Bangladesh,2021-07-24,7417714,1151644,15.5,4.5,0.7
Barbados,2022-10-14,770100,103014,13.4,268.0,35.9
Belarus,2022-05-09,13217569,982809,7.4,139.0,10.4
Belgium,2023-01-24,36548544,4691499,12.8,317.0,40.7
Belize,2022-06-08,572900,60694,10.6,140.0,14.9
Benin,2021-05-04,595112,7884,1.3,5.1,0.067
Bhutan,2022-02-28,1736168,12702,0.73,234.0,1.71
Bolivia,2022-06-05,4358669,910228,20.9,38.1,8.0
Bosnia and Herzegovina,2022-09-27,1872934,399887,21.4,54.7,11.7
Botswana,2022-01-11,2026898,232432,11.5,89.9,10.3
Brazil,2021-02-19,23561497,10081676,42.8,11.2,4.8
Brunei,2021-08-02,153804,338,0.22,33.5,0.074
Bulgaria,2023-02-02,10993239,1295524,11.8,158.0,18.6
Burkina Faso,2021-03-04,158777,12123,7.6,0.76,0.058
Burundi,2021-01-05,90019,884,0.98,0.76,0.0074
Cambodia,2021-08-01,1812706,77914,4.3,11.2,0.48
Cameroon,2021-02-18,942685,32681,3.5,3.6,0.12
Canada,2022-11-26,66343123,4423053,6.7,175.0,11.7
Chad,2021-03-02,99027,4020,4.1,0.72,0.029
Chile,2023-02-01,48154268,5123007,10.6,252.0,26.9
China[c],2020-07-31,160000000,87655,0.055,11.1,0.0061
Colombia,2022-11-24,36875818,6314769,17.1,76.4,13.1
Costa Rica,2021-11-02,2575363,561054,21.8,51.5,11.2
Croatia,2023-02-02,5481285,1267798,23.1,134.0,31.1
Cuba,2023-02-02,14301394,1112470,7.8,126.0,9.8
Cyprus[d],2023-01-29,27820163,644160,2.3,3223.0,74.4
Czechia,2023-02-01,22544928,4590529,20.4,211.0,42.9
Denmark[e],2023-01-31,67682707,3399947,5.0,1162.0,58.4
Djibouti,2022-04-28,305941,15631,5.1,33.2,1.7
Dominica,2022-06-20,209803,14821,7.1,293.0,20.7
Dominican Republic,2022-07-22,3574665,626030,17.5,32.9,5.8
DR Congo,2021-02-28,124838,25961,20.8,0.14,0.029
Ecuador,2021-07-23,1627189,480720,29.5,9.5,2.8
Egypt,2021-07-23,3137519,283947,9.1,3.1,0.28
El Salvador,2022-03-18,1847861,161052,8.7,28.5,2.5
Equatorial Guinea,2023-01-30,403773,17113,4.2,30.8,1.3
Estonia,2023-01-31,3637908,613954,16.9,274.0,46.2
Eswatini,2021-12-08,415110,49253,11.9,36.5,4.3
Ethiopia,2021-06-24,2981185,278446,9.3,2.6,0.24
Faroe Islands,2022-02-27,774000,34237,4.4,1493.0,65.7
Fiji,2023-01-02,667953,68848,10.3,74.5,7.7
Finland,2022-01-14,9042453,371135,4.1,163.0,6.7
France[f][g],2022-05-15,272417258,29183646,10.7,417.0,44.7
Gabon,2021-07-23,958807,25325,2.6,3.1,0.082
Gambia,2021-02-15,43217,4469,10.3,2.0,0.21
Georgia[h],2021-11-03,4888787,732965,15.0,132.0,19.7
Germany,2021-07-07,65247345,3733519,5.7,77.8,4.5
Ghana,2021-07-03,1305749,96708,7.4,4.2,0.31
Greece,2022-12-18,101576831,5548487,5.5,943.0,51.5
Greenland,2022-01-30,164573,10662,6.5,293.0,19.0
Grenada,2021-05-11,28684,161,0.56,25.7,0.14
Guatemala,2023-01-06,6800560,1230098,18.1,39.4,7.1
Guinea,2021-07-21,494898,24878,5.0,3.8,0.19
Guinea-Bissau,2022-07-07,145231,8400,5.8,7.7,0.45
Guyana,2022-06-15,648569,66129,10.2,82.5,8.4
Haiti,2022-11-26,223475,33874,15.2,2.0,0.3
Honduras,2021-11-26,1133782,377859,33.3,11.8,3.9
Hungary,2022-05-10,11394556,1909948,16.8,118.0,19.8
Iceland,2022-08-09,1988652,203162,10.2,546.0,55.8
India,2022-07-08,866177937,43585554,5.0,63.0,31.7
Indonesia,2023-07-03,76062770,6812127,9.0,28.2,2.5
Iran,2022-05-31,52269202,7232268,13.8,62.8,8.7
Iraq,2022-08-03,19090652,2448484,12.8,47.5,6.1
Ireland,2023-01-31,12990476,1700817,13.1,264.0,34.6
Israel,2022-01-17,41373364,1792137,4.3,451.0,19.5
Italy,2023-03-16,269127054,25651205,9.5,446.0,42.5
Ivory Coast,2021-03-03,429177,33285,7.8,1.6,0.13
Jamaica,2022-09-30,1184973,151931,12.8,43.5,5.6
Japan,2021-03-01,8487288,432773,5.1,6.7,0.34
Jordan,2021-06-06,7407053,739847,10.0,69.5,6.9
Kazakhstan,2021-05-28,11575012,385144,3.3,62.1,2.1
Kenya,2021-03-05,1322806,107729,8.1,2.8,0.23
Kosovo,2021-05-31,611357,107410,17.6,33.8,5.9
Kuwait,2022-03-09,7754247,624573,8.1,181.0,14.6
Kyrgyzstan,2021-02-10,695415,85253,12.3,10.7,1.3
Laos,2021-03-01,114030,45,0.039,1.6,0.00063
Latvia,2021-09-05,3630095,144518,4.0,189.0,7.5
Lebanon,2021-06-14,4599186,542649,11.8,67.4,8.0
Lesotho,2022-03-30,431221,32910,7.6,21.5,1.6
Liberia,2021-07-17,128246,5396,4.2,2.5,0.11
Libya,2022-04-14,2578215,501862,19.5,37.6,7.3
Lithuania,2023-01-31,9046584,1170108,12.9,324.0,41.9
Luxembourg[i],2022-05-12,4248188,244182,5.7,679.0,39.0
Madagascar,2021-02-19,119608,19831,16.6,0.46,0.076
Malawi,2022-11-29,624784,88086,14.1,3.3,0.46
Malaysia,2021-09-07,23705425,1880734,7.9,72.3,5.7
Maldives,2022-03-13,2216560,174658,7.9,398.0,31.3
Mali,2021-07-07,322504,14449,4.5,1.6,0.071
Malta,2021-09-08,1211456,36606,3.0,245.0,7.4
Mauritania,2021-04-16,268093,18103,6.8,6.1,0.41
Mauritius,2020-11-22,289552,494,0.17,22.9,0.039
Mexico,2021-10-15,10503678,3749860,35.7,8.2,2.9
Moldova[j],2022-04-20,3213594,516864,16.1,122.0,19.6
Mongolia,2021-07-10,3354200,136053,4.1,100.0,4.1
Montenegro,2021-05-10,394388,98449,25.0,62.5,15.6
Morocco,2023-01-06,14217563,1272299,8.9,38.5,3.4
Mozambique,2021-07-22,688570,105866,15.4,2.2,0.34
Myanmar,2021-09-16,4047680,440741,10.9,7.4,0.81
Namibia,2022-07-04,1062663,166229,15.6,38.7,6.1
Nepal,2022-07-26,5804358,984475,17.0,20.7,3.5
Netherlands,2021-07-06,14526293,1692834,11.7,83.4,9.7
New Caledonia,2021-09-03,41962,136,0.32,15.7,0.05
New Zealand,2023-01-29,7757935,2136662,27.5,156.0,42.9
Niger,2021-02-22,79321,4740,6.0,0.35,0.021
Nigeria,2021-02-28,1544008,155657,10.1,0.75,0.076
North Korea,2020-11-25,16914,0,0.0,0.066,0.0
North Macedonia,2021-07-01,881870,155689,17.7,42.5,7.5
Northern Cyprus[k],2022-07-12,7096998,103034,1.5,2177.0,31.6
Norway,2022-01-20,9811888,554778,5.7,183.0,10.3
Oman,2020-10-28,509959,114434,22.4,11.0,2.5
Pakistan,2021-03-05,9173593,588728,6.4,4.2,0.27
Palestine,2022-02-05,3078533,574105,18.6,60.9,11.4
Panama,2023-01-28,7475016,1029701,13.8,179.0,24.7
Papua New Guinea,2021-02-17,47490,961,2.0,0.53,0.011
Paraguay,2022-03-27,2609819,647950,24.8,36.6,9.1
Peru,2022-11-17,36073768,4177786,11.6,109.9,12.7
Philippines,2023-01-07,34402980,4073980,11.8,34.1,4.0
Poland,2022-04-27,36064311,5993861,16.6,94.0,15.6
Portugal,2022-01-05,27515490,1499976,5.5,268.0,14.6
Qatar,2022-11-11,4061988,473440,11.7,141.0,16.4
Romania,2021-01-29,5405393,724250,13.4,27.9,3.7
Russia,2022-06-06,295542733,18358459,6.2,201.0,12.5
Rwanda,2021-10-06,2885812,98209,3.4,22.3,0.76
